# PokéTrack TCG Collection Backup
# Scope: all_sets
# Total Cards: 280
# Format: card_id | set_id | number | quantity | is_wanted | market_price | custom_price | name | rarity | image_url | notes
me1-133 | me1 | 133 | 0 | 1 | 20.69 | 0.00 | Bulbasaur | Illustration Rare | https://images.pokemontcg.io/me1/133.png | 
me1-134 | me1 | 134 | 0 | 1 | 19.61 | 0.00 | Ivysaur | Illustration Rare | https://images.pokemontcg.io/me1/134.png | 
me1-155 | me1 | 155 | 0 | 1 | 11.97 | 0.00 | Mega Venusaur ex | Ultra Rare | https://images.pokemontcg.io/me1/155.png | 
me2-13 | me2 | 13 | 1 | 0 | 4.44 | 0.00 | Mega Charizard X ex | Double Rare | https://images.pokemontcg.io/me2/13.png | 
me5-1 | me5 | 1 | 1 | 0 | 0.00 | 0.00 | Tropius | Common | https://images.scrydex.com/pokemon/me5-1/small | 
me5-10 | me5 | 10 | 1 | 0 | 0.00 | 0.00 | Centiskorch | Common | https://images.scrydex.com/pokemon/me5-10/small | 
me5-105 | me5 | 105 | 1 | 0 | 0.00 | 0.00 | Crushing Hammer | Ultra Rare | https://images.scrydex.com/pokemon/me5-105/small | 
me5-11 | me5 | 11 | 1 | 0 | 0.00 | 0.00 | Charcadet | Common | https://images.scrydex.com/pokemon/me5-11/small | 
me5-114 | me5 | 114 | 1 | 0 | 0.00 | 0.00 | Mega Zeraora ex | Special Illustration Rare | https://images.scrydex.com/pokemon/me5-114/small | 
me5-12 | me5 | 12 | 1 | 0 | 0.00 | 0.00 | Armarouge | Rare | https://images.scrydex.com/pokemon/me5-12/small | 
me5-13 | me5 | 13 | 1 | 0 | 0.00 | 0.00 | Goldeen | Common | https://images.scrydex.com/pokemon/me5-13/small | 
me5-14 | me5 | 14 | 1 | 0 | 0.00 | 0.00 | Seaking | Uncommon | https://images.scrydex.com/pokemon/me5-14/small | 
me5-15 | me5 | 15 | 1 | 0 | 0.00 | 0.00 | Wailmer | Common | https://images.scrydex.com/pokemon/me5-15/small | 
me5-17 | me5 | 17 | 1 | 0 | 0.00 | 0.00 | Relicanth | Uncommon | https://images.scrydex.com/pokemon/me5-17/small | 
