# PokéTrack TCG Collection Backup
# Scope: all_sets
# Total Cards: 97
# Format: card_id | set_id | number | quantity | is_wanted | market_price | custom_price | name | rarity | image_url | notes
sv10-11 | sv10 | 11 | 1 | 0 | 0.10 | 0.00 | Dwebble | Common | https://images.pokemontcg.io/sv10/11.png | 
sv10-112 | sv10 | 112 | 1 | 0 | 0.03 | 0.00 | Team Rocket's Ekans | Common | https://images.pokemontcg.io/sv10/112.png | 
sv10-12 | sv10 | 12 | 1 | 0 | 0.14 | 0.00 | Crustle | Rare | https://images.pokemontcg.io/sv10/12.png | 
sv10-143 | sv10 | 143 | 1 | 0 | 0.03 | 0.00 | Steven's Beldum | Common | https://images.pokemontcg.io/sv10/143.png | 
sv10-168 | sv10 | 168 | 1 | 0 | 0.09 | 0.00 | Sacred Ash | Uncommon | https://images.pokemontcg.io/sv10/168.png | 
sv10-26 | sv10 | 26 | 1 | 0 | 0.05 | 0.00 | Teal Mask Ogerpon | Uncommon | https://images.pokemontcg.io/sv10/26.png | 
sv10-30 | sv10 | 30 | 1 | 0 | 0.04 | 0.00 | Rapidash | Uncommon | https://images.pokemontcg.io/sv10/30.png | 
sv10-32 | sv10 | 32 | 1 | 0 | 0.06 | 0.00 | Ethan's Cyndaquil | Common | https://images.pokemontcg.io/sv10/32.png | 
sv10-42 | sv10 | 42 | 1 | 0 | 0.09 | 0.00 | Blaziken | Rare | https://images.pokemontcg.io/sv10/42.png | 
sv3-105 | sv3 | 105 | 1 | 0 | 0.03 | 0.00 | Larvitar | Common | https://images.pokemontcg.io/sv3/105.png | 
sv3-108 | sv3 | 108 | 1 | 0 | 0.04 | 0.00 | Barboach | Common | https://images.pokemontcg.io/sv3/108.png | 
sv3-111 | sv3 | 111 | 1 | 0 | 0.07 | 0.00 | Drilbur | Common | https://images.pokemontcg.io/sv3/111.png | 
sv3-133 | sv3 | 133 | 1 | 0 | 0.04 | 0.00 | Houndoom | Uncommon | https://images.pokemontcg.io/sv3/133.png | 
sv3-136 | sv3 | 136 | 1 | 0 | 0.08 | 0.00 | Darkrai | Rare | https://images.pokemontcg.io/sv3/136.png | 
sv3-139 | sv3 | 139 | 1 | 0 | 0.04 | 0.00 | Salandit | Common | https://images.pokemontcg.io/sv3/139.png | 
sv3-140 | sv3 | 140 | 1 | 0 | 0.03 | 0.00 | Salazzle | Uncommon | https://images.pokemontcg.io/sv3/140.png | 
sv3-157 | sv3 | 157 | 1 | 0 | 0.04 | 0.00 | Dratini | Common | https://images.pokemontcg.io/sv3/157.png | 
sv3-169 | sv3 | 169 | 1 | 0 | 0.06 | 0.00 | Swablu | Common | https://images.pokemontcg.io/sv3/169.png | 
sv3-176 | sv3 | 176 | 1 | 0 | 0.04 | 0.00 | Yungoos | Common | https://images.pokemontcg.io/sv3/176.png | 
sv3-183 | sv3 | 183 | 1 | 0 | 0.05 | 0.00 | Oinkologne | Uncommon | https://images.pokemontcg.io/sv3/183.png | 
