# PokéTrack TCG Collection Backup
# Scope: sv6pt5
# Total Cards: 17
# Format: card_id | set_id | number | quantity | is_wanted | market_price | custom_price | name | rarity | image_url | notes
sv6pt5-10 | sv6pt5 | 10 | 1 | 0 | 0.03 | 0.00 | Horsea | Common | https://images.pokemontcg.io/sv6pt5/10.png | 
sv6pt5-11 | sv6pt5 | 11 | 1 | 0 | 0.05 | 0.00 | Seadra | Common | https://images.pokemontcg.io/sv6pt5/11.png | 
sv6pt5-13 | sv6pt5 | 13 | 1 | 0 | 0.03 | 0.00 | Sneasel | Common | https://images.pokemontcg.io/sv6pt5/13.png | 
sv6pt5-14 | sv6pt5 | 14 | 1 | 0 | 0.03 | 0.00 | Weavile | Uncommon | https://images.pokemontcg.io/sv6pt5/14.png | 
sv6pt5-16 | sv6pt5 | 16 | 1 | 0 | 0.03 | 0.00 | Drowzee | Common | https://images.pokemontcg.io/sv6pt5/16.png | 
sv6pt5-17 | sv6pt5 | 17 | 1 | 0 | 0.03 | 0.00 | Hypno | Uncommon | https://images.pokemontcg.io/sv6pt5/17.png | 
sv6pt5-22 | sv6pt5 | 22 | 1 | 0 | 0.06 | 0.00 | Sylveon | Uncommon | https://images.pokemontcg.io/sv6pt5/22.png | 
sv6pt5-27 | sv6pt5 | 27 | 1 | 0 | 0.03 | 0.00 | Zubat | Common | https://images.pokemontcg.io/sv6pt5/27.png | 
sv6pt5-28 | sv6pt5 | 28 | 1 | 0 | 0.03 | 0.00 | Golbat | Common | https://images.pokemontcg.io/sv6pt5/28.png | 
sv6pt5-30 | sv6pt5 | 30 | 1 | 0 | 0.03 | 0.00 | Absol | Common | https://images.pokemontcg.io/sv6pt5/30.png | 
sv6pt5-37 | sv6pt5 | 37 | 1 | 0 | 0.49 | 0.00 | Munkidori ex | Double Rare | https://images.pokemontcg.io/sv6pt5/37.png | 
sv6pt5-48 | sv6pt5 | 48 | 1 | 0 | 0.03 | 0.00 | Meowth | Common | https://images.pokemontcg.io/sv6pt5/48.png | 
sv6pt5-49 | sv6pt5 | 49 | 1 | 0 | 0.03 | 0.00 | Persian | Common | https://images.pokemontcg.io/sv6pt5/49.png | 
sv6pt5-50 | sv6pt5 | 50 | 1 | 0 | 0.05 | 0.00 | Eevee | Common | https://images.pokemontcg.io/sv6pt5/50.png | 
sv6pt5-52 | sv6pt5 | 52 | 1 | 0 | 0.03 | 0.00 | Stufful | Common | https://images.pokemontcg.io/sv6pt5/52.png | 
sv6pt5-53 | sv6pt5 | 53 | 1 | 0 | 0.03 | 0.00 | Bewear | Common | https://images.pokemontcg.io/sv6pt5/53.png | 
sv6pt5-72 | sv6pt5 | 72 | 1 | 0 | 19.55 | 0.00 | Munkidori | Illustration Rare | https://images.pokemontcg.io/sv6pt5/72.png | 
