# PokéTrack TCG Collection Backup
# Source: https://pokemoncardcollection.onrender.com (Live Server)
# Total Cards: 136
# Format: card_id | set_id | number | quantity | is_wanted | market_price | custom_price | name | rarity | image_url | notes
me5-1 | me5 | 1 | 1 | 0 | 0.00 | 0.00 | Tropius | Common | https://images.scrydex.com/pokemon/me5-1/small | 
me5-2 | me5 | 2 | 1 | 0 | 0.00 | 0.00 | Grubbin | Common | https://images.scrydex.com/pokemon/me5-2/small | 
me5-3 | me5 | 3 | 1 | 0 | 0.00 | 0.00 | Fomantis | Common | https://images.scrydex.com/pokemon/me5-3/small | 
me5-5 | me5 | 5 | 1 | 0 | 0.00 | 0.00 | Poltchageist | Common | https://images.scrydex.com/pokemon/me5-5/small | 
me5-6 | me5 | 6 | 1 | 0 | 0.00 | 0.00 | Sinistcha | Uncommon | https://images.scrydex.com/pokemon/me5-6/small | 
me5-12 | me5 | 12 | 1 | 0 | 0.00 | 0.00 | Armarouge | Rare | https://images.scrydex.com/pokemon/me5-12/small | 
me5-11 | me5 | 11 | 1 | 0 | 0.00 | 0.00 | Charcadet | Common | https://images.scrydex.com/pokemon/me5-11/small | 
me5-10 | me5 | 10 | 1 | 0 | 0.00 | 0.00 | Centiskorch | Common | https://images.scrydex.com/pokemon/me5-10/small | 
me5-8 | me5 | 8 | 1 | 0 | 0.00 | 0.00 | Mega Delphox ex | Double Rare | https://images.scrydex.com/pokemon/me5-8/small | 
me5-9 | me5 | 9 | 1 | 0 | 0.00 | 0.00 | Sizzlipede | Common | https://images.scrydex.com/pokemon/me5-9/small | 
me5-7 | me5 | 7 | 1 | 0 | 0.00 | 0.00 | Heatran | Uncommon | https://images.scrydex.com/pokemon/me5-7/small | 
me5-13 | me5 | 13 | 1 | 0 | 0.00 | 0.00 | Goldeen | Common | https://images.scrydex.com/pokemon/me5-13/small | 
me5-14 | me5 | 14 | 1 | 0 | 0.00 | 0.00 | Seaking | Uncommon | https://images.scrydex.com/pokemon/me5-14/small | 
me5-15 | me5 | 15 | 1 | 0 | 0.00 | 0.00 | Wailmer | Common | https://images.scrydex.com/pokemon/me5-15/small | 
me5-17 | me5 | 17 | 1 | 0 | 0.00 | 0.00 | Relicanth | Uncommon | https://images.scrydex.com/pokemon/me5-17/small | 
me5-18 | me5 | 18 | 1 | 0 | 0.00 | 0.00 | Popplio | Common | https://images.scrydex.com/pokemon/me5-18/small | 
me5-24 | me5 | 24 | 1 | 0 | 0.00 | 0.00 | Manectric | Uncommon | https://images.scrydex.com/pokemon/me5-24/small | 
me5-23 | me5 | 23 | 1 | 0 | 0.00 | 0.00 | Electrike | Common | https://images.scrydex.com/pokemon/me5-23/small | 
me5-22 | me5 | 22 | 1 | 0 | 0.00 | 0.00 | Palafin | Uncommon | https://images.scrydex.com/pokemon/me5-22/small | 
me5-21 | me5 | 21 | 1 | 0 | 0.00 | 0.00 | Finizen | Common | https://images.scrydex.com/pokemon/me5-21/small | 
me5-20 | me5 | 20 | 1 | 0 | 0.00 | 0.00 | Primarina | Rare | https://images.scrydex.com/pokemon/me5-20/small | 
me5-19 | me5 | 19 | 1 | 0 | 0.00 | 0.00 | Brionne | Common | https://images.scrydex.com/pokemon/me5-19/small | 
me5-25 | me5 | 25 | 1 | 0 | 0.00 | 0.00 | Charjabug | Common | https://images.scrydex.com/pokemon/me5-25/small | 
me5-26 | me5 | 26 | 1 | 0 | 0.00 | 0.00 | Vikavolt | Uncommon | https://images.scrydex.com/pokemon/me5-26/small | 
me5-28 | me5 | 28 | 1 | 0 | 0.00 | 0.00 | Miraidon | Rare | https://images.scrydex.com/pokemon/me5-28/small | 
me5-29 | me5 | 29 | 1 | 0 | 0.00 | 0.00 | Slowpoke | Common | https://images.scrydex.com/pokemon/me5-29/small | 
me5-30 | me5 | 30 | 1 | 0 | 0.00 | 0.00 | Slowbro | Uncommon | https://images.scrydex.com/pokemon/me5-30/small | 
me5-36 | me5 | 36 | 1 | 0 | 0.00 | 0.00 | Litwick | Common | https://images.scrydex.com/pokemon/me5-36/small | 
me5-35 | me5 | 35 | 1 | 0 | 0.00 | 0.00 | Spiritomb | Rare | https://images.scrydex.com/pokemon/me5-35/small | 
me5-34 | me5 | 34 | 1 | 0 | 0.00 | 0.00 | Banette | Uncommon | https://images.scrydex.com/pokemon/me5-34/small | 
me5-33 | me5 | 33 | 1 | 0 | 0.00 | 0.00 | Shuppet | Common | https://images.scrydex.com/pokemon/me5-33/small | 
me5-32 | me5 | 32 | 1 | 0 | 0.00 | 0.00 | Jynx | Common | https://images.scrydex.com/pokemon/me5-32/small | 
me5-37 | me5 | 37 | 1 | 0 | 0.00 | 0.00 | Lampent | Uncommon | https://images.scrydex.com/pokemon/me5-37/small | 
me5-38 | me5 | 38 | 1 | 0 | 0.00 | 0.00 | Mega Chandelure ex | Double Rare | https://images.scrydex.com/pokemon/me5-38/small | 
me5-39 | me5 | 39 | 1 | 0 | 0.00 | 0.00 | Dhelmise | Uncommon | https://images.scrydex.com/pokemon/me5-39/small | 
me5-40 | me5 | 40 | 1 | 0 | 0.00 | 0.00 | Marshadow | Uncommon | https://images.scrydex.com/pokemon/me5-40/small | 
me5-41 | me5 | 41 | 1 | 0 | 0.00 | 0.00 | Annihilape | Uncommon | https://images.scrydex.com/pokemon/me5-41/small | 
me5-42 | me5 | 42 | 1 | 0 | 0.00 | 0.00 | Mankey | Common | https://images.scrydex.com/pokemon/me5-42/small | 
me5-47 | me5 | 47 | 1 | 0 | 0.00 | 0.00 | Koraidon | Rare | https://images.scrydex.com/pokemon/me5-47/small | 
me5-46 | me5 | 46 | 1 | 0 | 0.00 | 0.00 | Drilbur | Common | https://images.scrydex.com/pokemon/me5-46/small | 
me5-45 | me5 | 45 | 1 | 0 | 0.00 | 0.00 | Rampardos ex | Double Rare | https://images.scrydex.com/pokemon/me5-45/small | 
me5-44 | me5 | 44 | 1 | 0 | 0.00 | 0.00 | Cranidos | Common | https://images.scrydex.com/pokemon/me5-44/small | 
me5-43 | me5 | 43 | 1 | 0 | 0.00 | 0.00 | Primeape | Common | https://images.scrydex.com/pokemon/me5-43/small | 
me5-49 | me5 | 49 | 1 | 0 | 0.00 | 0.00 | Vullaby | Common | https://images.scrydex.com/pokemon/me5-49/small | 
me5-50 | me5 | 50 | 1 | 0 | 0.00 | 0.00 | Mandibuzz | Common | https://images.scrydex.com/pokemon/me5-50/small | 
me5-51 | me5 | 51 | 1 | 0 | 0.00 | 0.00 | Inkay | Common | https://images.scrydex.com/pokemon/me5-51/small | 
me5-52 | me5 | 52 | 1 | 0 | 0.00 | 0.00 | Malamar | Uncommon | https://images.scrydex.com/pokemon/me5-52/small | 
me5-53 | me5 | 53 | 1 | 0 | 0.00 | 0.00 | Nickit | Common | https://images.scrydex.com/pokemon/me5-53/small | 
me5-54 | me5 | 54 | 1 | 0 | 0.00 | 0.00 | Thievul | Uncommon | https://images.scrydex.com/pokemon/me5-54/small | 
me5-60 | me5 | 60 | 1 | 0 | 0.00 | 0.00 | Skarmory | Common | https://images.scrydex.com/pokemon/me5-60/small | 
me5-59 | me5 | 59 | 1 | 0 | 0.00 | 0.00 | Chi-Yu | Rare | https://images.scrydex.com/pokemon/me5-59/small | 
me5-58 | me5 | 58 | 1 | 0 | 0.00 | 0.00 | Mabosstiff | Common | https://images.scrydex.com/pokemon/me5-58/small | 
